addr=0095  hex=1D  (oc=10, ky=1, kx=2, ic=0)
addr=0096  hex=7F  (oc=10, ky=2, kx=0, ic=0)
addr=0097  hex=19  (oc=10, ky=2, kx=1, ic=0)
addr=0098  hex=6B  (oc=10, ky=2, kx=2, ic=0)
addr=0099  hex=39  (oc=11, ky=0, kx=0, ic=0)
addr=0100  hex=67  (oc=11, ky=0, kx=1, ic=0)
addr=0101  hex=C1  (oc=11, ky=0, kx=2, ic=0)
addr=0102  hex=29  (oc=11, ky=1, kx=0, ic=0)
addr=0103  hex=00  (oc=11, ky=1, kx=1, ic=0)
addr=0104  hex=AE  (oc=11, ky=1, kx=2, ic=0)
addr=0105  hex=7F  (oc=11, ky=2, kx=0, ic=0)
addr=0106  hex=EB  (oc=11, ky=2, kx=1, ic=0)
addr=0107  hex=B8  (oc=11, ky=2, kx=2, ic=0)
addr=0108  hex=4E  (oc=12, ky=0, kx=0, ic=0)
addr=0109  hex=0F  (oc=12, ky=0, kx=1, ic=0)
addr=0110  hex=1D  (oc=12, ky=0, kx=2, ic=0)
addr=0111  hex=35  (oc=12, ky=1, kx=0, ic=0)
addr=0112  hex=6A  (oc=12, ky=1, kx=1, ic=0)
addr=0113  hex=81  (oc=12, ky=1, kx=2, ic=0)
addr=0114  hex=4B  (oc=12, ky=2, kx=0, ic=0)
addr=0115  hex=E5  (oc=12, ky=2, kx=1, ic=0)
addr=0116  hex=00  (oc=12, ky=2, kx=2, ic=0)
addr=0117  hex=3E  (oc=13, ky=0, kx=0, ic=0)
addr=0118  hex=D1  (oc=13, ky=0, kx=1, ic=0)
addr=0119  hex=F8  (oc=13, ky=0, kx=2, ic=0)
addr=0120  hex=49  (oc=13, ky=1, kx=0, ic=0)
addr=0121  hex=EF  (oc=13, ky=1, kx=1, ic=0)
addr=0122  hex=33  (oc=13, ky=1, kx=2, ic=0)
addr=0123  hex=EC  (oc=13, ky=2, kx=0, ic=0)
addr=0124  hex=7F  (oc=13, ky=2, kx=1, ic=0)
addr=0125  hex=F6  (oc=13, ky=2, kx=2, ic=0)
addr=0126  hex=90  (oc=14, ky=0, kx=0, ic=0)
addr=0127  hex=7F  (oc=14, ky=0, kx=1, ic=0)
addr=0128  hex=17  (oc=14, ky=0, kx=2, ic=0)
addr=0129  hex=D2  (oc=14, ky=1, kx=0, ic=0)
addr=0130  hex=9B  (oc=14, ky=1, kx=1, ic=0)
addr=0131  hex=FA  (oc=14, ky=1, kx=2, ic=0)
addr=0132  hex=12  (oc=14, ky=2, kx=0, ic=0)
addr=0133  hex=7E  (oc=14, ky=2, kx=1, ic=0)
addr=0134  hex=F1  (oc=14, ky=2, kx=2, ic=0)
addr=0135  hex=55  (oc=15, ky=0, kx=0, ic=0)
addr=0136  hex=47  (oc=15, ky=0, kx=1, ic=0)
addr=0137  hex=51  (oc=15, ky=0, kx=2, ic=0)
addr=0138  hex=92  (oc=15, ky=1, kx=0, ic=0)
addr=0139  hex=99  (oc=15, ky=1, kx=1, ic=0)
addr=0140  hex=24  (oc=15, ky=1, kx=2, ic=0)
addr=0141  hex=A1  (oc=15, ky=2, kx=0, ic=0)
addr=0142  hex=A6  (oc=15, ky=2, kx=1, ic=0)
addr=0143  hex=7F  (oc=15, ky=2, kx=2, ic=0)
